Note: Component loadings for Components 1 and 2 after varimax rotation,,
Gene,Component 1,Component 2
ABHD12B,0.035,-0.453
RAB39B,0.226,-0.254
PEBP4,0.013,-0.31
MCM3,0.136,0.067
PSME1,0.701,-0.146
PSME2,-0.014,-0.822
MBL1P,-0.632,-0.048
BTG3,-0.097,-0.218
PSME3,-0.169,-0.726
RTDR1,0.577,-0.548
PSME4,-0.704,0.136
NANOS3,0.664,0.163
CD244,0.65,-0.526
CD247,0.067,-0.385
NANOS1,0.781,-0.362
LACTB,-0.331,-0.671
LOC100133109,-0.33,0.413
PSMG3,-0.545,-0.36
PSMG2,-0.499,0.443
SLC6A7,0.141,0.199
SLC6A6,-0.502,0.614
U47924.1,0.144,-0.321
ATP8A2,0.41,-0.293
IPW,-0.846,0.276
CYB5D2,0.079,-0.867
MGST1,0.626,-0.698
AC021534.2,-0.504,0.442
MGST2,-0.824,0.291
CTD-2037K23.2,0.034,-0.62
VPS54,-0.839,0.154
BTC,0.669,-0.124
FLJ39061,0.398,-0.531
USP54,-0.813,-0.064
FOXF2,0.541,-0.387
C4A,0.032,-0.733
GATM,0.387,-0.272
KIAA0649,0.732,0.005
BSN,0.304,0.087
HACL1,-0.668,0.053
AC087742.2,-0.355,0.572
GAS2,-0.666,0.615
GAS7,-0.744,-0.174
GAS6,-0.429,0.532
PKP1,-0.1,0.536
PKP3,0.23,-0.595
LINC00158,0.286,-0.455
FOXA2,-0.619,0.334
CYP2C19,0.561,-0.285
GAR1,-0.363,-0.812
CYP2C18,0.624,-0.435
USP11,0.333,0.074
USP16,-0.891,-0.217
USP14,-0.195,-0.602
NICN1,0.525,-0.173
USP13,-0.944,-0.039
EGFL7,0.181,0.338
EGFL6,0.264,-0.152
CPXM2,-0.228,0.454
USP28,-0.776,0.394
NAALAD2,-0.862,0.272
AS3MT,-0.747,0.545
LINC00152,0.48,-0.543
USP22,-0.379,-0.624
NECAB3,-0.666,0.214
NECAB2,0.405,-0.831
USP37,-0.227,-0.662
USP36,-0.685,0.145
GPR116P2,0.029,-0.55
USP35,-0.086,-0.522
USP33,-0.771,0.384
USP31,-0.816,-0.098
MID2,-0.79,0.374
PLSCR4,0.569,-0.569
USP46,-0.208,-0.658
GAMT,0.239,-0.528
USP49,-0.575,-0.075
USP42,-0.829,-0.286
USP45,-0.647,0.564
TXNL4A,-0.027,-0.953
USP44,-0.376,0.561
MICB,-0.529,-0.549
MICA,-0.812,-0.285
RP11-61L23.2,-0.1,0.743
MARCO,0.455,-0.378
GPR89C,-0.666,0.368
GPR89B,-0.563,0.603
IL15RA,-0.539,0.628
LOC729852,-0.63,0.031
PKIB,0.455,-0.723
TACC3,-0.034,0.677
PKIA,0.656,-0.701
LOC729859,-0.179,-0.919
TACC1,-0.701,0.298
ARRB2,-0.342,-0.894
DTWD1,-0.102,-0.271
Mar-02,0.373,-0.528
ARRB1,0.641,-0.184
DTWD2,-0.67,0.514
MIAT,-0.602,0.673
SNTG1,-0.73,0.473
AC022311.1,-0.546,0.555
SNTG2,0.172,-0.776
ADORA2B,0.674,-0.381
ADORA2A,-0.717,0.15
SYCP2,-0.913,0.33
FBXW9,0.419,-0.436
FBXW7,-0.653,0.104
MIA3,-0.9,-0.181
TDRKH,0.466,-0.655
AUTS2,-0.357,0.15
SEC11C,-0.169,-0.765
GOLGA2P3Y,-0.694,-0.173
APEH,0.089,-0.664
OGDHL,-0.728,0.326
FSIP1,-0.074,-0.55
SNTB1,0.552,-0.336
LOC100289060,-0.088,-0.756
APLN,0.417,-0.563
PKN1,-0.303,-0.754
SLC7A14,-0.147,-0.564
SLC7A11,0.584,-0.623
TBCB,0.055,-0.753
CA8,0.525,-0.12
TBCA,0.161,-0.838
PKM2,-0.057,0.522
TBCD,0.179,-0.575
CA7,-0.819,0.1
CA4,0.103,-0.169
CA3,-0.407,0.449
VPS29,0.061,-0.812
CCK,0.188,-0.39
HS3ST5,-0.589,0.437
HS3ST4,-0.417,-0.13
HS3ST2,0.253,0.053
HS3ST1,-0.317,0.828
LOC400657,-0.032,-0.743
SEC16B,-0.527,-0.485
ISLR,-0.435,0.549
CLEC9A,0.016,-0.719
CCS,-0.156,-0.793
VPS35,0.042,-0.649
CD6,0.614,-0.377
FIBIN,0.392,-0.74
CD5,0.425,-0.311
VPS36,-0.587,0.591
CEBPA,0.511,-0.623
CNNM2,-0.875,-0.014
CEBPD,-0.31,-0.016
TXNRD3IT1,0.351,-0.592
CNNM1,-0.558,0.592
SDF2L1,0.319,-0.51
VPS24,0.157,-0.247
MESP1,0.464,-0.774
CBS,-0.211,-0.837
SNTA1,0.207,-0.607
PNMA5,0.646,-0.118
C11orf96,-0.461,-0.345
PNMA3,-0.859,-0.189
LRRC37A4P,-0.725,0.509
C11orf92,0.419,-0.222
OR6C2,0.786,-0.077
DDX11,-0.888,-0.154
APOE,0.561,-0.609
SEMA7A,-0.547,0.776
SULT1A2,-0.358,0.086
APOM,0.552,-0.629
APOO,0.353,-0.305
C11orf87,-0.49,0.12
C11orf84,0.573,-0.268
BCR,0.032,-0.9
PLD6,0.665,-0.607
C11orf83,0.26,-0.734
BYSL,0.036,-0.795
VTI1B,0.047,-0.858
LOC728392,0.136,-0.889
RP11-535K1.1,0.799,-0.089
CAMK4,0.146,-0.204
CAMK1,0.084,0.616
FBXL4,-0.779,0.206
FBXL6,-0.749,0.103
FBXL2,0.575,-0.26
RALYL,-0.339,-0.132
C11orf70,0.166,-0.72
FDX1,-0.86,-0.091
C11orf74,-0.059,-0.634
C11orf75,-0.903,-0.189
CAMKV,0.516,-0.658
SEMA5A,0.084,-0.57
TAL2,-0.033,-0.687
SEMA5B,-0.058,0.664
FBXO6,-0.086,-0.817
C11orf66,0.35,-0.821
FBXO9,-0.914,-0.089
CNKSR2,-0.717,0.15
C11orf61,-0.603,0.193
PLB1,0.4,-0.785
FBXO2,0.52,-0.686
CNKSR3,-0.203,0.027
C11orf63,-0.782,-0.136
FDXR,0.41,-0.557
UBP1,-0.737,0.283
ATP6V0E2,-0.428,-0.737
GBE1,-0.629,-0.235
SEMA6D,-0.758,0.497
PLAU,-0.077,0.594
ATP6V0E1,-0.185,-0.599
FAM207BP,0.033,-0.768
PCDHA5,-0.356,0.389
LOC100127998,-0.442,0.64
VPS37B,0.782,0.123
VPS37D,0.621,-0.473
CD151,-0.285,-0.832
GBAP,-0.217,-0.812
HIF1AN,-0.313,-0.357
CHST10,-0.14,0.563
CHST11,0.06,-0.443
SEMA3D,0.602,-0.568
SEMA3C,0.355,-0.37
LOC100291956,-0.68,0.273
SEMA3A,-0.579,-0.357
CHST15,0.309,-0.637
GOLM1,0.402,-0.799
PCDHB9,0.158,0.727
RP4-665J23.1,0.214,-0.176
LOC643421,-0.005,-0.537
NIP7,0.116,-0.79
PCDHB4,0.206,0.353
APTX,-0.357,-0.658
PCDHB2,-0.489,-0.373
CD164,-0.09,-0.249
CD163,-0.184,-0.638
SEMA4F,0.46,-0.717
MAP3K19,-0.694,0.365
SEMA4C,-0.914,-0.034
MAP3K10,-0.616,-0.028
MAP3K14,-0.59,0.087
MAP3K13,-0.639,0.583
SEMA4A,0.312,-0.767
MAP3K12,-0.622,0.259
BID,-0.705,0.511
DCHS2,0.785,-0.105
SULT1C4,0.709,-0.254
RWDD2B,-0.574,0.463
PRAP1,0.248,-0.33
ZWILCH,-0.104,-0.794
DLGAP1,-0.328,0.658
DLGAP3,0.652,0.291
LOC254559,-0.445,0.744
APRT,0.797,-0.126
ATP6V0A4,0.489,-0.615
ATP6V0A2,-0.528,0.579
NIT2,0.56,-0.738
FOXO1,-0.069,-0.268
SAE1,-0.625,-0.438
FOXO3,-0.46,0.725
C11orf10,0.576,-0.362
CSF3R,0.473,-0.192
OLIG1,-0.087,-0.246
IFRD2,-0.815,0.146
RBMS1,-0.8,0.322
FECH,-0.784,0.096
LINC00086,0.447,-0.753
LINC00087,0.765,-0.417
FOXN3,-0.878,0.063
ZDBF2,-0.358,-0.087
AC011472.2,-0.037,0.634
LOC653881,-0.663,-0.543
GBP2,-0.183,0.01
BLM,-0.192,-0.456
DAZAP1,-0.884,-0.186
RNFT2,-0.45,0.037
RNFT1,-0.828,-0.105
STAMBPL1,-0.683,0.344
CSF1R,0.731,-0.341
CFLAR,-0.259,-0.533
TBC1D10A,0.664,-0.231
SACS,-0.746,-0.02
FOXP1,-0.591,0.636
FOXP2,-0.164,0.73
IER5L,-0.686,0.221
C11orf48,-0.003,-0.446
C11orf45,0.151,-0.623
RMND5A,-0.903,-0.087
C11orf52,-0.549,0.588
C11orf51,0.149,-0.566
UBN1,-0.701,0.226
OR14I1,0.349,-0.537
C11orf41,-0.302,-0.19
C11orf24,-0.587,0.333
PLBD1,-0.467,-0.393
C1R,0.494,-0.443
C1S,0.45,-0.731
PLBD2,0.395,0.274
TAP1,-0.781,-0.126
C11orf30,-0.748,0.374
FOXL2,0.109,0.378
FOXL1,-0.289,-0.221
UBL3,-0.715,0.352
UBL5,0.517,-0.712
BMPER,-0.657,0.126
SYDE2,-0.497,-0.336
WSB2,-0.023,-0.7
BRE,0.317,-0.829
LOC100127925,0.76,-0.383
GGNBP1,0.685,-0.084
HIST2H2AA4,-0.226,-0.811
MASP1,0.557,-0.244
MASP2,-0.652,0.548
STOML1,-0.003,-0.884
MPV17,-0.229,-0.794
CTTNBP2,-0.742,0.392
MAT1A,0.727,0.206
PLS1,-0.48,0.322
CCNA1,0.058,-0.871
CCNA2,0.033,0.531
PLS3,-0.334,-0.854
PLAUR,-0.365,0.543
UBA5,-0.655,0.09
TRPT1,-0.368,0.274
DAGLA,-0.599,-0.229
LOC440084,-0.434,0.253
PLTP,0.569,-0.579
TGFBR1,-0.529,0.423
KIAA0528,-0.661,0.375
TRPS1,-0.087,-0.672
AC007405.8,0.203,-0.577
UBA3,-0.769,0.306
BMP8B,-0.089,0.487
BMP8A,-0.807,0.081
TRPV2,-0.019,-0.716
TRPV3,-0.044,0.426
CCNE1,-0.734,0.08
TRPV6,-0.369,0.067
SEPHS1P4,0.438,-0.051
CSDC2,-0.848,0.031
CXorf57,0.458,-0.729
MAST3,0.341,-0.577
MAST4,-0.211,0.8
CCND1,-0.685,-0.267
FAM114A1,-0.298,-0.647
CCND3,0.005,-0.638
CCND2,-0.304,-0.642
NKD2,0.592,-0.257
SFTPA1,-0.237,0.619
CXorf21,0.597,-0.125
CXorf23,-0.239,-0.688
FLRT3,-0.576,0.49
CCNB1IP1,-0.865,0.268
FLRT2,-0.904,-0.037
SHMT2,-0.306,-0.383
FLRT1,0.749,-0.212
CXorf36,-0.389,0.391
KIAA0564,-0.802,0.353
CCNB1,-0.498,-0.115
FEM1C,-0.355,0.44
CCNB3,0.298,-0.303
CXorf30,0.564,-0.001
MAT2B,-0.949,0.025
REPIN1,-0.908,-0.036
DAK,0.211,-0.861
CCNI2,0.034,-0.029
MGC42157,0.472,-0.392
DAP,0.492,-0.733
GOLT1A,0.127,-0.897
HES6,-0.642,0.407
NTSR1,0.635,-0.634
NTSR2,0.447,-0.782
KRBA1,-0.422,0.452
FILIP1L,0.539,-0.261
ASTN1,0.636,-0.172
EXTL2,-0.69,0.609
CCNG2,-0.774,-0.026
SDR16C5,-0.451,0.548
TAF4,-0.234,-0.041
PRAF2,0.604,-0.423
TAF5,-0.406,0.029
FDPS,-0.108,-0.879
SHANK1,0.812,-0.169
LOC729973,0.15,-0.314
SHANK2,0.605,0.197
SHANK3,0.064,0.45
SAFB2,-0.683,0.233
LOXHD1,-0.195,0.764
PLK2,-0.452,0.174
USPL1,-0.863,-0.137
LOC729983,0.237,-0.026
HEXA,-0.446,-0.814
FRMD3,0,-0.282
FRMD5,-0.839,0.105
DES,0.75,-0.13
FRMD6,-0.332,-0.586
HEY1,-0.136,-0.561
HEY2,0.031,-0.651
PCYT2,-0.214,-0.721
TRPM4,-0.703,-0.165
TRPM3,-0.36,0.785
ANKS1B,-0.532,-0.137
ANKS1A,-0.62,0.5
TRPM7,-0.725,0.389
CCNL1,-0.86,-0.042
NUP85,0.318,-0.525
DDN,0.423,-0.682
TRPM2,-0.834,-0.309
MFSD10,-0.081,-0.816
TTRAP,-0.897,-0.017
DCC,0.03,0.077
TAC1,0.412,-0.756
DCN,0.073,-0.524
DCI,-0.648,-0.101
TAC3,0.306,-0.492
ADPRHL1,-0.612,0.103
SHISA4,0.484,-0.418
SHISA5,-0.355,-0.802
RNF144A,-0.608,0.517
ALPK1,-0.269,-0.6
BZRAP1,0.095,-0.827
COTL1,-0.536,-0.053
DBH,0.57,0.04
DBI,0.459,-0.371
A1BG,0.394,-0.357
DBP,-0.46,0.024
HEYL,0.222,-0.633
STARD3NL,-0.21,-0.882
AQP9,0.478,-0.246
AQP5,-0.042,-0.435
AQP4,0.556,-0.638
AQP1,0,-0.642
AQP3,0.478,-0.462
RP4-783C10.1,0.402,-0.453
CFP,-0.369,-0.46
S1PR1,0.668,-0.403
GAB3,0.19,-0.641
OR2M1P,0.08,0.274
CLEC4G,0.43,-0.583
HRSP12,0.083,-0.688
CLEC4A,-0.08,-0.849
NGFRAP1,0.309,0.205
TRMT112P6,-0.362,-0.82
CFD,0.852,-0.389
CLEC4M,-0.342,0.561
TDRD3,-0.786,0.311
LOC149837,-0.422,0.44
TDRD5,0.45,-0.588
TDRD6,-0.578,0.297
TDRD7,-0.704,-0.465
TDRD9,0.036,-0.855
AKAP12,-0.76,-0.481
AKAP13,-0.356,-0.384
AKAP10,-0.37,0.631
IGF2BP3,-0.586,-0.001
AKAP14,0.639,-0.569
TDRD1,-0.592,0.472
PLAG1,-0.34,0.433
TRPC1,-0.178,-0.112
TRPC4,0.585,-0.347
TRPC3,-0.676,0.594
TRPC6,0.24,-0.675
TRPC5,0.199,-0.059
FLJ40292,-0.023,0.745
COX6A2,0.489,-0.28
TMOD3,-0.136,-0.512
LOC100127899,-0.569,-0.348
MITF,-0.742,0.347
TIMM17B,0.232,-0.631
CKB,-0.575,-0.367
KRT18P26,0.118,-0.194
CALN1,-0.074,-0.173
LOC100127891,0.75,-0.198
AC006273.1,0.743,-0.614
ATP6V1C1,0.082,-0.512
ATP6V1C2,0.093,-0.473
KRT18P19,-0.171,-0.161
CAB39L,-0.614,0.155
SEC14L5,-0.49,0.452
SEC14L4,-0.365,0.374
SEC14L2,0.539,-0.182
SEC14L1,-0.771,0.043
LOC728485,0.342,-0.487
CLEC2B,-0.598,0.199
CLEC2D,0.264,-0.257
CLEC2L,-0.49,0.221
NUPR1,0.4,-0.663
CLEC3B,-0.242,0.132
IFT57,-0.683,-0.041
RACGAP1P,-0.877,0.136
CALM3,0.649,-0.627
CIT,-0.799,0.424
CALM2,-0.27,0.492
ANKRD9,0.117,0.266
HOXD1,-0.183,0.249
ANKRD6,0.632,-0.731
CALB1,0.593,-0.39
CALB2,0.459,-0.689
MIOS,-0.644,0.07
HOXC4,-0.396,-0.238
RNF38,0.574,0.318
SNRPN,-0.805,0.367
LRCOL1,0.614,0.463
HOXD9,-0.267,-0.061
CPE,-0.102,-0.724
LOC646278,-0.554,0.489
RNF26,0.33,0.51
VPS26B,0.241,-0.767
SNRPG,-0.417,-0.72
CLU,0.124,-0.806
GALM,0.702,-0.332
GALP,0.301,0.06
GALE,-0.539,0.285
CKAP2,-0.678,0.306
GALT,-0.795,-0.475
HABP2,0.174,0.235
LOC100292909,0.449,-0.662
BZW2,-0.255,0.197
ARHGAP4,0.452,-0.602
ARHGAP6,0.486,-0.627
RAMP1,0.489,-0.328
ARHGAP9,-0.676,0.35
RAMP3,-0.107,0.306
HMGCLL1,-0.235,-0.802
SOX11,0.584,-0.479
CTH,0.375,-0.651
XIRP1,-0.771,0.018
DIS3L2,-0.85,-0.071
KIAA0513,0.195,0.541
CALCR,0.808,-0.017
GLTSCR2,-0.658,0.191
USP9Y,-0.596,0.452
CALD1,-0.024,-0.556
USP9X,-0.103,-0.891
CPZ,0.537,-0.319
MINA,0.17,-0.576
CALCB,0.192,0.495
MTHFS,-0.053,-0.874
MTHFR,-0.828,-0.04
PLAC2,0.442,-0.529
PLAC9,0.655,-0.55
CRH,0.312,-0.009
RPL19P12,-0.521,-0.673
GRIN3A,0.895,-0.195
GRIN2B,0.763,-0.031
SBSN,-0.696,-0.272
STAG3L4,-0.829,0.346
STAG3L2,-0.115,0.469
TAF4B,-0.737,0.496
GRIN2A,-0.115,0.886
MAPK1,0.783,-0.3
EBPL,-0.06,-0.582
MAPK6,-0.852,0.126
MAPK4,0.239,0.25
MAPK3,0.356,-0.879
NLE1,0.672,-0.494
UNC13C,-0.63,0.384
UNC13B,-0.415,0.157
UNC13A,-0.474,-0.611
SH3BP5L,0.106,0.624
SPATS1,0.528,-0.185
POTEB,-0.257,0.405
POTEE,-0.551,0.108
POTED,-0.692,0.405
ARF3,-0.11,-0.791
NLGN4X,0.33,0.366
SRSF1,-0.568,0.578
TAF1C,-0.679,-0.108
TCOF1,-0.611,0.358
EIF2A,-0.886,-0.032
PMVK,0.186,-0.884
AP000880.1,0.738,-0.138
PI4KA,0.12,-0.528
TAF10,0.532,-0.644
TAF13,-0.349,0.534
CARD16,0.125,-0.821
CARD17,0.292,-0.689
LINC00346,-0.552,0.032
ACCN1,0.233,-0.832
ACCN4,0.255,-0.22
LINC00324,-0.089,0.171
LINC00314,-0.377,0.313
LINC00312,0.016,-0.473
IL17RE,-0.336,0.248
IL17RC,-0.027,0.28
IL17RD,0.75,-0.483
TCEAL1,0.105,0.27
IL17RA,-0.382,0.242
IL17RB,0.467,-0.583
IFT122,-0.513,0.006
LINC00320,0.307,-0.483
EBI3,0.05,-0.62
MGC24103,0.699,-0.047
EDA,0.334,-0.228
FLJ77644,0.301,-0.439
ARPC4,-0.079,-0.862
ARPC5,0.312,-0.479
ARNT,-0.857,0.26
P2RY6,0.715,-0.022
ARPC3,-0.163,-0.88
ARPC2,0.72,-0.268
SYAP1,0.045,0.165
P2RY2,0.43,-0.335
P2RY1,0.481,-0.547
AL161668.2,0.424,-0.643
PCDHA11,-0.455,0.412
EGF,0.62,-0.566
LOC728056,-0.679,0.238
P2RX5,0.795,-0.285
P2RX6,-0.241,0.664
EBF4,-0.268,0.345
P2RX2,0.413,-0.195
MAD1L1,-0.044,0.279
CLDN9,-0.327,0.147
CLDN5,-0.571,0.118
SLC1A4,0.516,-0.72
SLC1A6,-0.038,-0.733
A26C1B,-0.809,0.461
ARL9,-0.187,-0.188
PMM1,0.03,-0.842
CLDN1,0.158,-0.505
IFT81,-0.54,-0.216
FKBP2,-0.639,-0.057
FKBP9,-0.51,-0.034
FKBP7,-0.693,0.332
FKBP5,-0.849,0.159
PTCHD1,0.536,-0.704
FKBP4,-0.351,0.46
BTN2A2,-0.602,0.19
GTF3C6,0.118,-0.893
GTF3C2,-0.327,0.586
GTF3C3,-0.765,-0.302
EBP,0.274,-0.371
RPP38,-0.522,0.151
GDF1,0.515,-0.568
PNKD,-0.753,0.227
GDF6,-0.395,0.274
AP003355.2,-0.53,0.101
SOHLH1,-0.61,0.461
VPS13D,-0.702,-0.458
SCD5,-0.127,-0.613
RPP25,-0.043,0.504
ATRNL1,-0.723,0.349
PRKCDBP,0.06,-0.348
C12orf68,0.051,0.616
HES1,0.271,-0.45
C12orf73,0.266,-0.762
PNKP,0.332,-0.132
C12orf70,-0.488,0.014
HES5,0.491,-0.719
HES4,0.704,-0.462
C12orf76,-0.05,-0.463
MLLT10,-0.833,0.349
BTN3A3,-0.803,-0.392
BTN3A2,-0.143,-0.362
CLCN1,0.139,0.369
CLCN2,-0.795,-0.005
C12orf57,-0.069,0.66
C12orf59,0.401,0.432
C12orf64,0.387,-0.097
C12orf63,-0.244,-0.495
LOC100291744,0.325,-0.432
DMD,0.607,-0.273
NKRF,-0.007,0.644
GDE1,-0.355,-0.687
TPD52L1,-0.089,-0.006
C12orf49,-0.14,0.382
C12orf45,0.601,-0.71
NTRK3,0.119,-0.454
MYCNOS,0.836,-0.202
C12orf54,-0.787,-0.239
C12orf53,0.123,-0.838
PAXIP1,-0.782,0.206
C12orf52,0.429,-0.52
WSCD1,0.034,-0.711
WSCD2,-0.502,0.378
NTRK2,0.454,-0.467
HEPH,0.437,-0.629
RPP40,-0.07,-0.585
CLCN5,0.098,-0.246
C12orf35,-0.896,-0.212
TCEANC,0.241,0.181
ARSD,0.479,-0.287
HELQ,-0.812,0.083
ARSF,0.5,-0.205
ARSG,-0.643,0.364
LY86,0.378,-0.716
ARSJ,0.376,-0.276
ARSK,0.033,-0.772
ART3,-0.267,0.347
SEH1L,-0.632,-0.499
AC105206.1,-0.286,0.301
C12orf41,-0.683,0.138
C12orf42,0.83,-0.173
C12orf26,-0.81,-0.062
C12orf24,-0.827,0.426
C12orf23,0.15,-0.852
UFD1L,-0.493,-0.808
LY96,0.133,-0.463
SNUPN,-0.041,-0.781
SCAI,-0.42,0.573
DACT1,0.554,-0.643
DACT2,-0.579,-0.034
DACT3,-0.076,-0.618
C12orf32,-0.692,0.239
PPFIA2,0.072,0.272
PPFIA4,-0.674,0.289
MEF2BNB-MEF2B,0.462,0.033
LY6D,-0.379,0.422
LY6E,0.263,-0.215
LY6H,0.66,-0.6
TSTA3,0.023,-0.724
FYCO1,0.004,-0.639
GNRHR2,-0.526,-0.626
COX7A1,-0.469,0.453
LOC388237,-0.862,-0.051
C12orf10,-0.304,-0.151
CYP1B1-AS1,-0.256,0.183
DSTYK,-0.694,-0.066
SCLY,-0.786,-0.083
DTL,0.363,0.418
PNCK,0.564,-0.673
MFI2,0.696,0.422
LOC440311,-0.653,0.182
ASB9,0.237,-0.099
CBLN4,0.418,0.261
CBLN1,0.63,-0.321
CBLN2,0.24,-0.089
ASB1,0.17,-0.892
LOC100499484-C9ORF174,-0.882,-0.126
DSP,-0.051,0.24
ASB2,0.267,0.149
ASB5,0.328,-0.235
ASB6,0.225,-0.652
DIAPH1,-0.674,-0.215
DIAPH2,0.435,-0.461
PCDHAC2,0.348,-0.407
CORO2B,-0.27,0.615
CORO2A,-0.521,0.049
EIF3A,-0.836,-0.069
EIF3E,-0.644,0.133
EIF3F,-0.363,-0.785
HEG1,-0.524,0.083
EIF3J,-0.064,-0.584
RHEBL1,0.292,-0.594
OR4K5,0.432,0.158
LOC440335,0.505,0.5
CORO1C,0.106,-0.67
CORO1B,0.126,-0.288
CORO1A,0.252,-0.853
LAGE3,0.034,0.039
THNSL2,0.054,-0.665
GTDC1,-0.511,0.155
RP3-410C9.1,0.698,-0.193
THNSL1,-0.101,-0.247
KIAA0802,-0.766,0.454
HECW1,-0.439,0.791
HECW2,-0.611,0.304
MRVI1,0.567,-0.318
EVI2B,0.006,-0.501
CHST1,0.492,-0.729
MFN2,-0.567,0.052
LOC651856,-0.334,0.637
CHST9,0.217,-0.64
SCIN,0.535,-0.453
CHST8,0.234,-0.299
AC110760.2,-0.524,0.689
HECA,-0.678,0.31
PYCARD,0.493,-0.487
GEMIN8,0.169,-0.617
DPT,-0.498,0.511
SCG2,0.223,-0.5
MAP1A,-0.827,-0.313
MAP1B,-0.432,0.044
KIAA0831,-0.747,0.202
SCGN,0.67,-0.621
JHDM1D,-0.938,0.203
DR1,-0.123,-0.272
ALOX5,0.334,-0.735
KCNE1L,-0.118,-0.043
LINC00260,0.515,-0.789
EHHADH,0.075,0.132
C14orf37,0.231,-0.468
TMPPE,-0.607,0.586
FRRS1L,-0.216,-0.469
FAH,0.451,-0.777
WDR75,-0.549,0.469
HTR1B,-0.323,0.405
HTR1A,0.562,-0.736
FAP,-0.719,-0.033
LOC440297,-0.138,0.186
C14orf45,-0.575,0.236
WDR77,-0.254,-0.892
FAU,0.564,-0.186
FAS,0.415,-0.361
HTR1D,-0.026,0.249
HTR1F,-0.859,0.368
HTR1E,0.025,-0.405
DDRGK1,-0.045,-0.557
WDR90,-0.522,0.116
NME7,-0.581,0.088
NME4,0.033,-0.866
NME5,-0.821,0.092
WDR85,-0.739,0.022
PITPNM2,-0.009,-0.735
PITPNM3,0.34,-0.231
WDR86,0.69,-0.652
ASPRV1,-0.657,0.064
LINC00282,0.126,-0.669
PCDH21,0.333,-0.259
PCDH20,0.767,-0.46
WDR54,0.224,-0.769
WDR52,-0.004,-0.674
PCDH10,0.515,-0.278
PCDH12,-0.05,0.271
PCDH15,0.775,-0.443
WDR70,-0.791,0.335
RAB7L1,0.43,-0.523
PCDH17,0.542,-0.683
PCDH19,0.636,-0.572
PCDH18,0.202,-0.36
WDR66,0.386,-0.851
WDR67,0.128,-0.141
CEACAM22P,0.105,0.605
WDR62,0.618,-0.163
WDR63,-0.581,0.117
WDR64,-0.322,0.069
C14orf50,-0.18,-0.311
WDR69,0.312,-0.733
NAP1L3,-0.395,0.59
NAP1L2,-0.632,0.525
NAP1L5,-0.029,0.321
RPLP0P2,-0.382,-0.788
CFHR4,0.326,0.657
WDR36,-0.529,-0.5
WDR31,0.113,-0.787
SERTAD3,0.098,0.311
SERTAD4,-0.658,0.629
WDR34,-0.154,-0.504
HTR5A,-0.577,-0.301
WDR33,-0.621,-0.088
SERTAD2,-0.439,0.459
WDR48,-0.012,-0.631
WDR49,0.282,-0.515
LINC00205,0.265,-0.264
CHSY3,-0.019,-0.669
OR4N2,-0.326,0.496
VOPP1,0.248,-0.657
WDR44,-0.371,-0.491
PCDHB15,-0.396,0.656
PCDHB14,-0.127,0.748
PCDHB12,-0.554,0.43
PCDHB10,-0.275,0.748
KIAA0776,-0.022,-0.574
LINC00239,0.765,-0.343
LINC00238,0.607,-0.467
WDR19,-0.769,0.376
PCDHB18,0.138,0.876
WDR16,0.027,-0.832
PCDHB16,-0.461,0.489
WDR13,-0.096,-0.838
C14orf23,-0.098,-0.614
SUPT4H1,-0.382,-0.636
HTR3A,0.4,-0.78
HTR3B,0.201,-0.138
WDR25,0.175,-0.506
C13orf39,-0.334,-0.213
WDR23,0.384,-0.77
C13orf38,-0.761,-0.238
HTR2C,0.34,-0.707
C13orf36,0.569,-0.716
HTR2A,-0.505,0.396
C14orf177,-0.043,0.231
SLC2A6,-0.343,0.209
SLC2A5,0.736,0.109
SLC2A4,0.575,-0.248
DDX25,-0.167,-0.845
PSIP1,-0.555,-0.265
ASPG,0.651,0.03
ASPM,0.197,0.307
C14orf162,-0.726,-0.095
FBP1,0.472,-0.42
LOC643037,0.169,-0.93
HCST,0.525,-0.6
UBE2Q2P1,-0.292,0.198
COL1A1,0.354,-0.221
AFAP1-AS1,-0.474,0.58
RP11-565H13.2,0.18,-0.835
ASS1,0.355,-0.796
DDX46,-0.883,-0.094
DDX3X,-0.779,0.373
DDX3Y,-0.744,0.5
GINS2,0.346,-0.578
DPH3P1,-0.519,0.092
GINS4,0.007,0.184
DDX55,-0.915,-0.22
EAF1,-0.188,-0.641
GTF2F2,0.151,-0.85
DDX59,-0.519,0.203
FLVCR1-AS1,-0.605,-0.67
DDX54,-0.099,-0.862
KYNU,0.186,-0.321
PNMT,0.619,-0.617
SAT2,-0.043,0.478
C14orf83,-0.105,0.254
FES,-0.786,0.084
GTF2A1,-0.806,0.261
TCERG1L,0.406,0.258
HCP5,0.059,-0.378
MS4A8B,0.537,-0.467
LOXL3,-0.205,-0.452
LOXL2,-0.46,0.474
LOXL1,0.616,-0.642
SEC24D,0.042,-0.687
SEC23A,-0.767,-0.093
C14orf79,0.119,-0.821
SAV1,-0.797,0.181
PUSL1,0.051,-0.866
ASNS,-0.612,-0.158
C21orf128,0.131,0.045
PNPO,-0.643,-0.01
TERF1,-0.197,-0.815
MS4A4A,-0.101,-0.812
MORN5,0.278,-0.782
C14orf91,-0.843,0.092
SLC2A9,0.6,0.083
MORN4,-0.222,-0.907
MORN3,0.535,-0.551
MORN2,0.276,-0.683
PNO1,0.128,-0.752
FBN1,-0.149,0.816
C21orf110,-0.218,-0.715
